species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Cambarus veteranus,37.88214084,-82.01351264,TRUE,12.29133326,
Cambarus williami,36.00674654,-86.23990998,TRUE,14.21233306,
Cambarus zophonastes,35.79738472,-92.30744215,TRUE,13.99100021,
Cherax bicarinatus,-12.51714597,133.9207955,TRUE,27.6093332,
Cherax boesemani,-1.50948232,132.356334,TRUE,26.41533343,
Cherax cainii,39.19588378,101.55573,TRUE,7.514333308,yes
Cherax cainii,-31.45838548,117.9342736,TRUE,17.8653334,
Cherax cuspidatus,-29.35550474,152.6368742,TRUE,18.81466667,
Cherax dispar,-26.71580255,152.7342153,TRUE,19.35299969,
Cherax holthuisi,-1.711403232,132.1393864,TRUE,27.05933348,
Cherax lorentzi,-4.314347379,137.7630469,TRUE,19.76200008,
Cherax monticola,-4.70503436,138.7924524,TRUE,26.48133326,
Cherax pallidus,-3.998480218,136.1720347,TRUE,14.74666667,
Cherax papuanus,-6.395856584,143.3625,TRUE,22.14799992,
Cherax peknyi,-6.551479764,140.9561941,TRUE,27.13733355,
Cherax preissii,-33.44991769,116.9190153,TRUE,16.21300014,
Cherax quadricarinatus,-25.78000297,123.2088988,TRUE,22.62500032,yes
Cherax quadricarinatus,-25.49327029,137.3464997,TRUE,22.95233313,yes
Cherax quadricarinatus,-21.59349078,140.0360758,TRUE,24.33066646,
Cherax quinquecarinatus,-33.48714261,116.608002,TRUE,15.39299989,
Cherax rhynchotus,-6.522303226,140.9801524,TRUE,27.19833358,
Distocambarus carlsoni,33.7686597,-81.75015755,TRUE,16.7019997,
Distocambarus crockeri,33.76469679,-81.74884989,TRUE,16.71799982,
Distocambarus devexus,33.55740446,-83.29270833,TRUE,16.88066665,
Distocambarus hunteri,33.69034126,-81.61206331,TRUE,16.99700018,
Distocambarus youngineri,34.4850291,-81.85148629,TRUE,15.9253333,
Engaeus australis,-38.81270359,146.1955427,TRUE,14.11800027,
Engaeus cisternarius,-41.69338086,145.4125,TRUE,11.01633346,
Engaeus cunicularius,-36.2530318,142.1926958,TRUE,15.15933315,
Engaeus curvisuturus,-37.82567552,146.1613741,TRUE,9.626666665,
Engaeus cymus,-35.4551989,144.6243203,TRUE,16.35033321,
Engaeus disjuncticus,-41.4516942,146.4938799,TRUE,11.67566653,
Engaeus fossor,-41.27856186,145.0261007,TRUE,11.23099995,
Engaeus fultoni,-38.54569401,143.4248118,TRUE,13.15433343,
Engaeus hemicirratulus,-38.13009491,146.4694487,TRUE,13.63299998,
Engaeus karnanga,-38.56658226,146.0214371,TRUE,13.91666683,
Engaeus laevis,-41.40938655,147.7403914,TRUE,9.057000081,
Engaeus lengana,-41.24266823,144.9336514,TRUE,11.34533334,
Engaeus leptorhynchus,-41.22214762,147.5729607,TRUE,11.38933357,
Engaeus lyelli,-36.99015574,144.2193987,TRUE,13.32833334,
Engaeus mairener,-41.12306953,147.3649111,TRUE,12.5966665,
Engaeus merosetosus,-36.88249312,143.9851821,TRUE,14.36266653,
Engaeus nulloporius,-41.70744129,147.1819685,TRUE,12.03300011,
Engaeus orientalis,-37.17375741,148.9424759,TRUE,10.13733339,
Engaeus quadrimanus,-37.80995735,147.2063616,TRUE,13.88599984,
Engaeus sericatus,-38.07683907,142.6554204,TRUE,13.42533326,
Engaeus strictifrons,-38.0530543,142.5441755,TRUE,13.41733336,
Engaeus tayatea,-41.11621863,147.4855079,TRUE,12.47966659,
Engaeus tuberculatus,-36.47217539,142.4262024,TRUE,14.81166649,
Engaeus victoriensis,-37.87427106,145.2152533,TRUE,14.69466678,
Engaewa similis,-34.27638826,115.6617005,TRUE,15.96500023,
Engaewa subcoerulea,-34.68899971,116.9629239,TRUE,14.79566662,
Euastacus armatus,-35.42497866,146.363207,TRUE,16.18566696,
Euastacus australasiensis,-33.75851921,150.5285265,TRUE,14.85633302,
Euastacus kershawi,-37.54898028,146.5637624,TRUE,12.23100015,
Euastacus simplex,-30.17372836,151.7046828,TRUE,11.93266658,
Euastacus spinifer,-33.16522071,150.9196779,TRUE,16.39900001,
Euastacus yanga,-36.19678734,149.8124839,TRUE,14.57133309,
Euastacus yarraensis,-37.93395272,144.1376418,TRUE,13.99699998,
Fallicambarus burrisi,31.78108198,-88.35183071,TRUE,17.90766696,
