species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Cherax_cartalacoolah,parastacidae,yes,,,,63.4,total.body.length,63.4,63.4,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_glaber,parastacidae,yes,,,,92,total.body.length,92,92,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_robustus,parastacidae,,,,,85,total.body.length,85,85,,Semi-terrestrial/Aquatic,Riek 1951,The freshwater crayfish (family Parastacidae) of Queensland,
Engaeus_rostrogaleatus,parastacidae,yes,,,,58.4,total.body.length,58.4,58.4,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_bindal,parastacidae,,,,,36.83,post.orbital.carapace.length,83.41329398,83.41329398,,Semi-terrestrial/Aquatic,McCormack 2012,A guide to australias spiny freshwater crayfish,
Euastacus_eungella,parastacidae,yes,,,,105.7,total.body.length,105.7,105.7,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_girurmulayn,parastacidae,yes,,,,77.6,total.body.length,77.6,77.6,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_guruhgi,parastacidae,yes,,,,70.5,total.body.length,70.5,70.5,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_jagabar,parastacidae,yes,,,,59,total.body.length,59,59,,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_jagara,parastacidae,yes,2,40.4,39.2,41.6,post.orbital.carapace.length,94.21648193,94.21648193,,Semi-terrestrial/Aquatic,"Robert B McCormack, 2012",A Guide to Australia's Spiny Freshwater Crayfish,
Euastacus_mirangudjin,parastacidae,yes,1,35.13,,35.13,post.orbital.carapace.length,79.5631012,79.5631012,,Semi-terrestrial/Aquatic,"Robert B McCormack, 2012",A Guide to Australia's Spiny Freshwater Crayfish,
