OBJECTID,id_no,species,decimalLatitude,decimalLongitude
52,4621,Cherax quadricarinatus,-25.78000297,123.2088988
53,4621,Cherax quadricarinatus,-21.59349078,140.0360758
218,153731,Cherax quinquecarinatus,-33.48714261,116.608002
150,153624,Cherax rhynchotus,-6.522303226,140.9801524
426,153937,Distocambarus carlsoni,33.7686597,-81.75015755
290,153809,Distocambarus crockeri,33.76469679,-81.74884989
54,6763,Distocambarus devexus,33.55740446,-83.29270833
258,153779,Distocambarus hunteri,33.69034126,-81.61206331
55,6764,Distocambarus youngineri,34.4850291,-81.85148629
56,7735,Engaeus australis,-38.81270359,146.1955427
174,153657,Engaeus cisternarius,-41.69338086,145.4125
185,153677,Engaeus cunicularius,-36.2530318,142.1926958
57,7743,Engaeus curvisuturus,-37.82567552,146.1613741
186,153678,Engaeus cymus,-35.4551989,144.6243203
58,7744,Engaeus disjuncticus,-41.4516942,146.4938799
160,153636,Engaeus fossor,-41.27856186,145.0261007
171,153652,Engaeus fultoni,-38.54569401,143.4248118
215,153726,Engaeus hemicirratulus,-38.13009491,146.4694487
177,153662,Engaeus karnanga,-38.56658226,146.0214371
212,153719,Engaeus laevis,-41.40938655,147.7403914
207,153711,Engaeus lengana,-41.24266823,144.9336514
238,153756,Engaeus leptorhynchus,-41.22214762,147.5729607
195,153693,Engaeus lyelli,-36.99015574,144.2193987
140,153603,Engaeus mairener,-41.12306953,147.3649111
232,153749,Engaeus merosetosus,-36.88249312,143.9851821
59,7746,Engaeus nulloporius,-41.70744129,147.1819685
145,153616,Engaeus orientalis,-37.17375741,148.9424759
169,153649,Engaeus quadrimanus,-37.80995735,147.2063616
146,153618,Engaeus sericatus,-38.07683907,142.6554204
214,153724,Engaeus strictifrons,-38.0530543,142.5441755
225,153741,Engaeus tayatea,-41.11621863,147.4855079
209,153713,Engaeus tuberculatus,-36.47217539,142.4262024
139,153602,Engaeus victoriensis,-37.87427106,145.2152533
60,7749,Engaewa similis,-34.27638826,115.6617005
179,153664,Engaewa subcoerulea,-34.68899971,116.9629239
61,8136,Euastacus armatus,-35.42497866,146.363207
202,153703,Euastacus australasiensis,-33.75851921,150.5285265
155,153632,Euastacus kershawi,-37.54898028,146.5637624
190,153686,Euastacus simplex,-30.17372836,151.7046828
204,153707,Euastacus spinifer,-33.16522071,150.9196779
154,153631,Euastacus yanga,-36.19678734,149.8124839
162,153639,Euastacus yarraensis,-37.93395272,144.1376418
62,8488,Fallicambarus burrisi,31.78108198,-88.35183071
324,153838,Fallicambarus byersi,31.31008672,-87.66820771
278,153798,Fallicambarus caesius,33.58600113,-92.87004552
63,8489,Fallicambarus danielae,31.14546543,-89.61782379
246,153768,Fallicambarus devastator,31.47996708,-95.18749271
289,153808,Fallicambarus dissitus,32.81308633,-92.35530198
230,153747,Fallicambarus fodiens,37.62531195,-87.62150968
64,8490,Fallicambarus gilpini,33.78000246,-92.09317207
65,8491,Fallicambarus gordoni,31.47757953,-89.21057654
66,8492,Fallicambarus harpi,34.23352404,-93.40041688
67,8493,Fallicambarus hortoni,35.54238055,-88.81638591
517,154023,Fallicambarus houstonensis,30.77353918,-95.37169697
385,153898,Fallicambarus jeanae,34.23352404,-93.40041688
381,153894,Fallicambarus kountzeae,31.33906004,-94.74915192
376,153889,Fallicambarus macneesei,30.95523805,-94.22461873
249,153771,Fallicambarus oryktes,31.15294189,-89.59791667
68,8494,Fallicambarus petilicarpus,33.35726228,-92.534477
69,8495,Fallicambarus strawni,34.21109823,-93.92314821
492,154001,Fallicambarus tenuis,34.38592507,-93.99240312
365,153878,Faxonella beyeri,31.80113447,-94.24767118
402,153915,Faxonella blairi,34.07105907,-94.7261652
438,153949,Faxonella clypeata,32.49441767,-90.16952354
480,153990,Faxonella creaseri,32.38951427,-92.18862927
187,153679,Geocharax falcata,-36.78691367,142.4429112
173,153656,Geocharax tasmanicus,-38.42409176,143.44375
226,153742,Gramastacus insolitus,-37.0429903,142.5143756
70,10205,Hobbseus attenuatus,31.61178396,-90.14595049
71,10206,Hobbseus cristatus,32.47566416,-88.2331183
72,10207,Hobbseus orconectoides,33.76598782,-88.50520833
73,10208,Hobbseus petilus,34.06204767,-88.51103818
447,153957,Hobbseus prominens,32.63772629,-87.8401974
74,10209,Hobbseus valleculus,32.87353875,-89.09374356
75,10210,Hobbseus yalobushensis,33.8632257,-89.54517442
213,153722,Ombrastacoides asperrimanus,-42.16296721,145.6352692
156,153633,Ombrastacoides brevirostris,-42.69916092,145.5228978
198,153699,Ombrastacoides decemdentatus,-42.62673884,146.0256954
211,153716,Ombrastacoides denisoni,-43.23236382,146.6587614
223,153739,Ombrastacoides dissitus,-43.47775344,146.8072882
178,153663,Ombrastacoides huonensis,-43.10265597,146.5705497
141,153607,Ombrastacoides ingressus,-42.03482059,145.4554266
224,153740,Ombrastacoides leptomerus,-41.57910569,145.6823371
143,153612,Ombrastacoides parvicaudatus,-42.03482059,145.4554266
192,153688,Ombrastacoides professorum,-42.13861051,145.6342483
149,153622,Ombrastacoides pulcher,-42.5680318,146.2759003
389,153902,Orconectes acares,34.23368026,-93.39076693
442,153953,Orconectes alabamensis,35.00237453,-87.83792547
134,62025,Orconectes australis,34.75103,-85.92858921
509,154017,Orconectes barrenensis,37.10491355,-85.92839242
512,154020,Orconectes barri,36.33475337,-84.90275319
78,15424,Orconectes bisectus,38.09113534,-88.33725432
252,153774,Orconectes burri,36.39137869,-88.11666667
394,153907,Orconectes carolinensis,35.57267252,-77.51218491
513,154021,Orconectes causeyi,34.26059946,-99.88092373
419,153930,Orconectes chickasawae,34.01597494,-88.89106748
501,154009,Orconectes compressus,35.55373808,-86.82604167
92,15439,Orconectes cooperi,34.8259215,-86.37562949
523,154029,Orconectes cristavarius,38.75232496,-84.13157137
93,15440,Orconectes deanae,35.32236312,-96.08082453
307,153826,Orconectes difficilis,35.12354834,-97.03375685
519,154025,Orconectes durelli,36.36104981,-85.7
332,153847,Orconectes erichsonianus,33.01100312,-86.93229167
346,153861,Orconectes etnieri,34.73098231,-88.93242398
490,153999,Orconectes eupunctus,36.41152493,-91.45365458
475,153984,Orconectes forceps,35.99823253,-83.08555849
431,153942,Orconectes harrisonii,38.06022254,-90.96263085
94,15441,Orconectes hartfieldi,34.06664681,-89.69684668
479,153989,Orconectes hathawayi,30.22767882,-92.55448803
333,153848,Orconectes hobbsi,30.31409115,-90.51942877
95,15442,Orconectes holti,32.3194582,-86.43125
341,153856,Orconectes hylas,37.78556188,-90.76500322
325,153840,Orconectes illinoiensis,37.91908218,-88.75180397
412,153925,Orconectes immunis,51.24487929,10.42937521
413,153925,Orconectes immunis,45.49256304,-73.12914534
414,153925,Orconectes immunis,48.99979364,-86.80132294
79,15425,Orconectes incomptus,36.00501283,-85.59573915
417,153928,Orconectes indianensis,38.09131238,-87.93062402
135,62026,Orconectes inermis,38.52295748,-86.20503692
76,15422,Orconectes jeffersoni,38.03816554,-85.96619001
86,15432,Orconectes jonesi,32.07470162,-88.34943247
443,153954,Orconectes juvenilis,47.38938631,4.970655888
444,153954,Orconectes juvenilis,37.62087545,-84.12540738
80,15426,Orconectes kentuckiensis,38.09103606,-88.33125454
460,153970,Orconectes lancifer,32.59998431,-91.3250898
368,153881,Orconectes leptogonopodus,34.21109823,-93.92314821
241,153764,Orconectes limosus,62.20669947,94.09672728
242,153764,Orconectes limosus,51.27292568,-72.12937343
464,153974,Orconectes longidigitus,36.52975103,-92.77280969
433,153944,Orconectes luteus,38.16167086,-94.71770833
371,153884,Orconectes macrus,37.15053479,-95.57109151
87,15433,Orconectes maletae,31.75184708,-93.85682901
88,15434,Orconectes marchandi,36.44201556,-91.45859788
510,154018,Orconectes margorectus,37.49700106,-88.20508899
340,153855,Orconectes medius,38.04197366,-91.10112816
136,62027,Orconectes meeki,35.81256499,-94.03769837
89,15435,Orconectes menae,34.20963935,-94.24793549
428,153939,Orconectes mirus,34.90502502,-86.22331761
81,15427,Orconectes mississippiensis,33.7528077,-88.78333333
505,154013,Orconectes nais,34.03729373,-99.10487432
343,153858,Orconectes nana,36.17401212,-94.73642164
287,153807,Orconectes neglectus,41.71820557,-74.23418181
288,153807,Orconectes neglectus,35.67856087,-92.49929801
260,153781,Orconectes obscurus,42.76027795,-78.81746803
261,153781,Orconectes obscurus,49.42854895,-84.55604783
262,153781,Orconectes obscurus,40.13559452,-78.3637988
478,153988,Orconectes ozarkae,36.51910873,-92.06692473
96,15443,Orconectes packardi,37.13271045,-84.67508443
398,153911,Orconectes pagei,35.94242117,-88.49691734
279,153799,Orconectes palmeri,35.18103313,-91.47347516
471,153981,Orconectes pardalotus,37.25287522,-88.96572896
359,153874,Orconectes pellucidus,36.56885198,-86.82291667
455,153965,Orconectes perfectus,33.00855018,-87.67460073
90,15436,Orconectes peruncus,36.28727197,-90.15861698
318,153834,Orconectes placidus,35.37593225,-87.07604167
380,153893,Orconectes propinquus,47.93954288,-77.72819421
437,153948,Orconectes punctimanus,36.9978302,-91.10328118
392,153905,Orconectes putnami,36.77569886,-86.55647294
91,15437,Orconectes quadruncus,37.10754487,-90.46953755
528,165914,Orconectes quinebaugensis,42.12950102,-72.5639318
367,153880,Orconectes rafinesquei,37.98615715,-87.09589814
382,153895,Orconectes rhoadesi,36.0272923,-87.46265566
334,153849,Orconectes ronaldi,37.11587515,-86.83532966
319,153835,Orconectes rusticus,36.54532232,-88.13011955
320,153835,Orconectes rusticus,41.1474644,-84.96068141
