species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Engaeus_cunicularius,parastacidae,yes,,,,56.7,total.body.length,56.7,56.7,15.15933315,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_quinquecarinatus,parastacidae,yes,,,,148.1,total.body.length,148.1,148.1,15.39299989,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_simulans,cambaridae,yes,,,,87.6,total.body.length,87.6,87.6,15.98300012,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hayi,cambaridae,yes,,47,24,70,carapace.length,141.4,141.4,16.00433322,Semi-terrestrial/Aquatic,"Payne 1971, 1972",The life history of Procambarus hayi,
Euastacus_armatus,parastacidae,yes,,,,500,total.body.length,500,500,16.18566696,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_preissii,parastacidae,yes,,,,210,total.body.length,210,210,16.21300014,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonella_blairi,cambaridae,,,,,19.8,carapace.length,39.006,39.006,16.30866659,Semi-terrestrial/Aquatic,Hayes and Reimer 1977,"Faxonella blairi, a new crawfish from the Red River drainage of Oklahoma and Arkansas",
Hobbseus_petilus,cambaridae,yes,21,15.18,11.08,25.88,carapace.length,50.9836,50.9836,16.32166684,Semi-terrestrial/Aquatic,"Pat Alison, Unpublished data",,
Hobbseus_yalobushensis,cambaridae,yes,,,,33,total.body.length,33,33,16.34066673,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_lylei,cambaridae,yes,,,,68.2,total.body.length,68.2,68.2,16.34066673,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_lophotus,cambaridae,yes,,,,86.6,total.body.length,86.6,86.6,16.3616668,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_parasimulans,cambaridae,yes,,,,79.7,total.body.length,79.7,79.7,16.3816667,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_raneyi,cambaridae,yes,2,42.55,42.5,42.6,carapace.length,86.052,86.052,16.40900008,Semi-terrestrial/Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_pearsei,cambaridae,,,,,35.5,carapace.length,71.71,71.71,16.42599984,Semi-terrestrial/Aquatic,Cooper 2011,"Redescription and distribution of the crayfish, Procambarus (Ortmannicus) pearsei (Creaser, 1934) (Decapoda: Cambaridae), with notes on its biology",
Procambarus_viaeviridis,cambaridae,yes,,,,73.6,total.body.length,73.6,73.6,16.60199996,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_clarkii,cambaridae,yes,,,,160,total.body.length,160,160,16.62833305,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Hobbseus_orconectoides,cambaridae,yes,,,,42.2,total.body.length,42.2,42.2,16.63099988,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_connus,cambaridae,yes,,,,72.4,total.body.length,72.4,72.4,16.63866695,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_contrerasi,cambaridae,yes,,,,55.7,total.body.length,55.7,55.7,16.65866677,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_braswelli,cambaridae,yes,,,,64.2,total.body.length,64.2,64.2,16.78766656,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_acutissimus,cambaridae,,,,,37.4,carapace.length,75.548,75.548,16.87400003,Semi-terrestrial/Aquatic,Schuster et al. 2022,The Crayfishes of Alabama,
Hobbseus_valleculus,cambaridae,yes,,,,45.8,total.body.length,45.8,45.8,16.94300016,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_lepidodactylus,cambaridae,,,,,23.9,carapace.length,48.278,48.278,17.03333314,Semi-terrestrial/Aquatic,Hobbs 1947,"A KEY TO THE CRAYFISHES OF THE PICTUS SUBGROUP OF THE GENUS PROCAMBARUS, WITH THE DESCRIPTION OF A NEW SPECIES FROM SOUTH CAROLINA",
